Actual_quantity,Country,Created_date,Invoice_date,Master_data,Old_SKU_name,Requested_date,SKU_number,Shipped_date,Supplier
,,,,['recOLmlpaJeFNnlfX'],,,Modular CITY HANDELBAR (spare part),,
1,Belgium,10/05/2019,10/05/2019,,BEBAT Main battery,10/05/2019,BEBAT1,10/05/2019,
1,Belgium,13/02/2019,13/02/2019,,Vario Rack,13/02/2019,414071,13/02/2019,AGU
1,Belgium,22/05/2019,22/05/2019,,BIKE SHIPPING BE,22/05/2019,SHIPPING BE,22/05/2019,DPD
2,Belgium,01/03/2019,01/03/2019,,Ahooga 1 Folding Stem Spring,01/03/2019,A1-6002,01/03/2019,UBW
,,,,['reclMczau1ZSf3eu5'],,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue (brown grips and saddle) -&gt; sortie de ligne wk 36,,
1,Belgium,28/01/2019,28/01/2019,,Folding B i k e Disc Brakes Option (6-10 weeks),28/01/2019,AH-FOL-DISC BRAKE,28/01/2019,
1,Belgium,29/05/2019,29/05/2019,,"Front & Rear Carriers (incl pegs, cushion, stand) for Ahooga Modular B i k e",29/05/2019,AH-MOD-ACC-RACK-PACK-50kg,29/05/2019,
,,,,['recdTPq5iAPzQiKqW'],,,BIKE SHIPPING DE,,
2,Belgium,16/05/2019,16/05/2019,,BIKE SHIPPING BE,16/05/2019,SHIPPING BE,16/05/2019,DPD
1,Belgium,12/02/2019,12/02/2019,,BEBAT Main battery,12/02/2019,BEBAT1,12/02/2019,
1,Belgium,15/03/2019,15/03/2019,,Maintenance Pack : BASIC,15/03/2019,SAV Basic,15/03/2019,
1,Belgium,08/07/2019,08/07/2019,,"Comfy saddle BLACK, Blinder Mini Niner",08/07/2019,COMFORT+ pack (2018) BLACK,08/07/2019,Ahooga Sprl
1,Belgium,03/06/2019,03/06/2019,,Small Goods Shipping,03/06/2019,SHIPPING SMALL PARCEL,03/06/2019,DPD
1,Belgium,02/02/2019,02/02/2019,,Brooks Island Helmet Orange/Grey L,02/02/2019,BR406.ORA.L,02/02/2019,NOWCOMPANY
,,,,['recY4wc7JBLvjzNbv'],,,Upgrade to long range battery (24V 7Ah Lithium Ion),,
2,Netherlands,21/01/2019,21/01/2019,,"DISC eBike marathon+ 4,4Ah battery ANTHRACITE MAT, white decal, brown grip and saddle (for Belgium ONLY: BEBAT included)",21/01/2019,Disc eB-M+ 4.4 ANTHRACITE,21/01/2019,Ahooga Sprl
1,Belgium,04/06/2019,04/06/2019,,BEBAT Main battery,04/06/2019,BEBAT1,04/06/2019,
1,Belgium,12/06/2019,12/06/2019,,Ahooga Modular Bike - 36V - 3S (10 weeks),12/06/2019,AH-MOD-36V-3S,12/06/2019,
,,,,['recdGFT0JnyXxuI2n'],,,POWER CUSTOM COLOR- Brushed Aluminium (6-10 weeks),,
,,,,['recTOGVmjAUw7cHBJ'],,,"DISC eBike marathon+ 4,4Ah battery CUSTOM RAL 4006 glossy, decal dark grey, grip and saddle TBC(for Belgium ONLY: BEBAT included)",,
1,Belgium,26/04/2019,26/04/2019,,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,26/04/2019,AH-FOL-HYB ESS,26/04/2019,
1,Belgium,19/07/2019,19/07/2019,,Maintenance Pack: PROM NIGHT,19/07/2019,SAV Prom Night,19/07/2019,
1,Netherlands,23/07/2019,23/07/2019,,City Handlebar,23/07/2019,AH-MOD-CITY,23/07/2019,
1,Belgium,12/06/2019,12/06/2019,,Handelbar City V2,12/06/2019,3160314 V2,12/06/2019,HARTJE
1,Belgium,27/06/2019,27/06/2019,,BEBAT Lights,27/06/2019,BEBAT2,27/06/2019,
,,,,['reca2f074rslwQysm'],,,"eBike caliper marathon+ 4,4Ah battery RAL 6001 Glossy, decal New White",,
,,,,['recwa27gtr2KX51Z1'],,,Ahooga Folding Bike - Power+ - Wow Copper (delivery Q2 2019),,
,,,,['rec27H3rtFVY6rOlc'],,,Double B i k e Stand for Modular B i k e,,
1,Belgium,08/06/2019,08/06/2019,,Riser handlebar 20mm,08/06/2019,AH-MOD-RIS20,08/06/2019,
,,,,['rec9vrRvba4pflO1e'],,,Veste Beseason Femme LONG (SABLON),,
1,Belgium,11/02/2019,11/02/2019,,Ahooga 1 Rear Folding Fender incl Fix,11/02/2019,A1-8003,11/02/2019,UBW ZRT
1,Belgium,26/04/2019,26/04/2019,,Maintenance Pack : BASIC,26/04/2019,SAV Basic,26/04/2019,
1,Belgium,25/05/2019,25/05/2019,,Replacement REAR inner tire,25/05/2019,SAV REAR INNER TIRE,25/05/2019,
1,Belgium,21/03/2019,21/03/2019,,Ahooga 1 Rear E-Wheel without motor,21/03/2019,A1-2020 B,21/03/2019,
,,,,['recmAa4dFiZACfk9Q'],,,Helmet TorchT2 Blue,,
1,Belgium,14/06/2019,14/06/2019,,Abus Lock Iven 8210/110,14/06/2019,303647,14/06/2019,AGU
1,France,18/01/2019,18/01/2019,,"eBike caliper marathon+ 4,4Ah battery  WHITE MAT, dark grey decal, brown grip and saddle  (for Belgium ONLY: BEBAT included)",18/01/2019,eB-C-M+ 4.4 WHITE SUNRISE,18/01/2019,Ahooga Sprl
1,Belgium,07/05/2019,07/05/2019,,POWER CUSTOM COLOR -  Vintage Green (6-10 weeks),07/05/2019,AH-FOL-POW COLOR CUSTOM  RAL 6021 GLOSSY,07/05/2019,
1,Belgium,23/07/2019,23/07/2019,,Helmet Torch  T2 Blue,23/07/2019,TORCH BLUE,23/07/2019,ROOL IN
1,Belgium,16/05/2019,16/05/2019,,VINCITA BLACK Bag,16/05/2019,IAG-B207AH-BL-REV1,16/05/2019,
1,Belgium,03/06/2019,03/06/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),03/06/2019,AH-FOL-POW,03/06/2019,
,,,,['rec1cD67ySnVwwzwq'],,,Rapid Stem Twist (90mm) for Modular B i k e,,
1,Belgium,27/05/2019,27/05/2019,,HYBRID CUSTOM COLOR  RAL TBC FINISH TBC (6-10 weeks),27/05/2019,AH-FOL-COLOR CUSTOM  RAL TBC FINSIH TBC,27/05/2019,
4,Belgium,17/05/2019,17/05/2019,,Disc pads pair,17/05/2019,Disc pads pair,17/05/2019,UBW
1,Belgium,08/05/2019,08/05/2019,,BIKE SHIPPING BE,08/05/2019,SHIPPING BE,08/05/2019,DPD
1,Belgium,13/02/2019,13/02/2019,,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,13/02/2019,AH-FOL-HYB ESS,13/02/2019,
1,Belgium,12/06/2019,12/06/2019,,Modular Heads UP,12/06/2019,AH-MOD-ACC-HEADS UP,12/06/2019,BLB
1,Belgium,17/01/2019,17/01/2019,,Shopper Bag Pro Grey,17/01/2019,413369,17/01/2019,AGU
1,Belgium,28/03/2019,28/03/2019,,BIKE SHIPPING BE,28/03/2019,SHIPPING BE,28/03/2019,DPD
1,Belgium,15/06/2019,15/06/2019,,Klickfix Stem/Caddy,15/06/2019,414096,15/06/2019,AGU
,,,,['recBsXx9kSkwaN0JR'],,,Ahooga Folding (Hybrid) Bike - Style+ - Jaw Drop Charcoal,,
1,Belgium,06/06/2019,06/06/2019,,HYBRID CUSTOM COLOR  RAL TBC FINISH TBC (6-10 weeks),06/06/2019,AH-FOL-COLOR CUSTOM  RAL TBC FINSIH TBC,06/06/2019,
,,,,['recXRG7X3opu7m9AA'],,,Modular - rear carrier + stand,,
,,,,['recbVjqMRarYWmfYm'],,,Ahooga Folding Bike Power+ (delivery Q1 2019),,
1,Belgium,04/07/2019,04/07/2019,,Maintenance Pack: BASIC+,04/07/2019,SAV Basic+,04/07/2019,
1,Belgium,30/06/2019,30/06/2019,,BEBAT Lights,30/06/2019,BEBAT2,30/06/2019,
1,Belgium,28/03/2019,28/03/2019,,Folding B i k e Disc Brakes Option (6-10 weeks),28/03/2019,AH-FOL-DISC BRAKE,28/03/2019,
1,Belgium,26/06/2019,26/06/2019,,BIKE SHIPPING BE,26/06/2019,SHIPPING BE,26/06/2019,DPD
1,Belgium,08/07/2019,08/07/2019,['rechpdGvPD5BT3c3x'],Cesa Cruise Pochette,08/07/2019,Cesa Cruise Pochette,08/07/2019,SMINNO
,,,,['recS3VIKWylPf5sdB'],,,"eBike caliper marathon+ 4,4Ah batteryBLACK GLOSSY, white decal, black grips and saddle(for Belgium ONLY: BEBAT included)",,
,,,,['recK8gwpie1a6K8Zc'],,,Ahooga Modular Bike - 36V - 8S - Riser 2 (delivery Q1 2019),,
,,,,['recisNdfPxYsmy52k'],,,Custom color : white matt,,
1,Belgium,27/04/2019,27/04/2019,,"Front & Rear Carriers (incl pegs, cushion, stand) for Ahooga Modular B i k e",27/04/2019,AH-MOD-ACC-RACK-PACK-50kg,27/04/2019,
1,Belgium,20/07/2019,20/07/2019,,HYBRID CUSTOM COLOR  - Wow Copper (6-10 weeks),20/07/2019,AH-FOL-COLOR CUSTOM  RAL 8029 MAT,20/07/2019,
1,Belgium,19/02/2019,19/02/2019,,JAGWIRE PADS COMPOUNDS PAIR,19/02/2019,P453R,19/02/2019,
1,Belgium,04/07/2019,04/07/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),04/07/2019,AH-MOD-36V-8S,04/07/2019,
1,Belgium,27/06/2019,27/06/2019,,BEBAT Lights,27/06/2019,BEBAT2,27/06/2019,
1,Belgium,25/05/2019,25/05/2019,,Klickfix Stem/Caddy,25/05/2019,414096,25/05/2019,AGU
,,,,['rec2ixlp3QIFqV7OE'],,,Ahooga Folding Bike - Push/Style+,,
,,,,['recb3WTj1M7y6xR6t'],,,Ahooga 1 Motor 9 Speed with cable and connector,,
2,Belgium,03/04/2019,03/04/2019,,Carrying Handle Farher,03/04/2019,640757,03/04/2019,FAHRER
1,Belgium,18/06/2019,18/06/2019,,Small Goods Shipping,18/06/2019,SHIPPING SMALL PARCEL,18/06/2019,DPD
1,Belgium,13/06/2019,13/06/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),13/06/2019,AH-MOD-36V-8S,13/06/2019,
1,Belgium,16/07/2019,16/07/2019,,MIK Adapter Plate,16/07/2019,AH-MOD-ACC-0.738.089/2,16/07/2019,HARTJE
1,Belgium,14/06/2019,14/06/2019,,Ahooga 1 Folding Stem Spring,14/06/2019,A1-6002,14/06/2019,UBW
1,Belgium,01/08/2019,01/08/2019,,Abus Lock Iven 8210/110,01/08/2019,303647,01/08/2019,AGU
2,Belgium,17/07/2019,17/07/2019,,BEBAT Lights,17/07/2019,BEBAT2,17/07/2019,
1,Belgium,23/03/2019,23/03/2019,,"eBike caliper marathon+ 4,4Ah battery  BLACK GLOSSY, white decal, black grip and saddle  (for Belgium ONLY: BEBAT included)",23/03/2019,eB-C-M+ 4.4 BLACK,23/03/2019,Ahooga Sprl
,,,,['reco7bGL9FPogFqMP'],,,JAGWIRE PADS COMPOUNDS PAIR,,
1,Belgium,29/04/2019,29/04/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,29/04/2019,AH-FOL-HYB COMFORT,29/04/2019,
,,,,['recnA5YL9v20L8dls'],,,"DISC eBike marathon+ 4,4Ah battery CUSTOM RAL 6034 glossy, white decal, grip and saddle brown(for Belgium ONLY: BEBAT included)",,
1,Belgium,22/02/2019,22/02/2019,,Ahooga 1 Inner Tire,22/02/2019,A1-2012,22/02/2019,AGU
,,,,['rec8s9xHjDSIPgFX9'],,,Ahooga Folding Bike - Power+ - White Sunrise (Currently 10-12 weeks) Selle et poignées brunes,,
2,Germany,03/06/2019,03/06/2019,['recZhcIRv8vz8z9BR'],BIKE SHIPPING DE,03/06/2019,SHIPPING DE,03/06/2019,DPD
2,Belgium,20/07/2019,20/07/2019,,Brake Pads pair - JAGWIRE,20/07/2019,AHO-SPARE-PADS JAGWIRE,20/07/2019,
1,Belgium,27/06/2019,27/06/2019,,BASIL Front Basket “Crate S MIK” (40 * 29 * 21 cm),27/06/2019,AH-MOD-ACC-0.838.029/7,27/06/2019,HARTJE
1,Belgium,23/04/2019,23/04/2019,,Maintenance Pack : BASIC,23/04/2019,SAV Basic,23/04/2019,
1,Belgium,29/07/2019,29/07/2019,,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,29/07/2019,AH-FOL-HYB STYLE,29/07/2019,
1,Belgium,08/02/2019,08/02/2019,,Small Goods Shipping,08/02/2019,SHIPPING SMALL PARCEL,08/02/2019,DPD
1,Belgium,27/06/2019,27/06/2019,,BASIL Front Basket “Crate S MIK” (40 * 29 * 21 cm),27/06/2019,AH-MOD-ACC-0.838.029/7,27/06/2019,HARTJE
,,,,['recpFfOS5M6MRLiWo'],,,CUSTOM COLORRAL TBC FINISH TBC,,
1,Belgium,16/07/2019,16/07/2019,,BEBAT Lights,16/07/2019,BEBAT2,16/07/2019,
1,Belgium,12/01/2019,12/01/2019,,Rear Carrier for Ahooga Folding B i k e,12/01/2019,AH-POW-ACC-CARRIER,12/01/2019,
,,,,['recbZs75dpYNkr2aS'],,,Ahooga 1 Shimano Caliper Front (with pads),,
1,Belgium,09/04/2019,09/04/2019,,Replacement REAR inner tire,09/04/2019,SAV REAR INNER TIRE,09/04/2019,
1,Belgium,25/04/2019,25/04/2019,,Mirror,25/04/2019,901/1,25/04/2019,BUSCH &amp; MULLER
1,Belgium,04/06/2019,04/06/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),04/06/2019,AH-MOD-36V-8S,04/06/2019,
1,Belgium,10/07/2019,10/07/2019,,Pump Joeblow Max HP BLACK,10/07/2019,TO6079.BLK,10/07/2019,NOWCOMPANY
1,Belgium,30/01/2019,30/01/2019,,Small Goods Shipping,30/01/2019,SHIPPING SMALL PARCEL,30/01/2019,DPD
8,Belgium,27/06/2019,27/06/2019,,Abus Lock Iven 8210/110,27/06/2019,303647,27/06/2019,AGU
1,Belgium,06/06/2019,06/06/2019,,Brake Pads pair - KOOL STOP,06/06/2019,AHO-SPARE-PAD,06/06/2019,
,,,,['recVsUMuLOTvdVwcu'],,,MODULAR Heads UP (rehausseur de guidon),,
1,France,27/06/2019,27/06/2019,,BIKE SHIPPING FR,27/06/2019,SHIPPING FR,27/06/2019,DPD
1,Belgium,04/07/2019,04/07/2019,,Qibbel Air - rear child seat,04/07/2019,Qibbel Air,04/07/2019,Qibbel
1,Belgium,21/06/2019,21/06/2019,,Small Goods Shipping,21/06/2019,SHIPPING SMALL PARCEL,21/06/2019,DPD
1,France,30/06/2019,30/06/2019,,HYBRID CUSTOM COLOR  RAL TBC FINISH TBC (6-10 weeks),30/06/2019,AH-FOL-COLOR CUSTOM  RAL TBC FINSIH TBC,30/06/2019,
1,Belgium,16/05/2019,16/05/2019,,VINCITA BLACK Bag,16/05/2019,IAG-B207AH-BL-REV1,16/05/2019,
,,,,['recoLB130mK8RdnMd'],,,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue - black grips &amp; saddle,,
1,Belgium,09/07/2019,09/07/2019,,Hybrid Battery 24V/7Ah UPGRADE,09/07/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,09/07/2019,UBW ZRT
,,,,['rechKyFrARikwHUsw'],,,Blinder Mini Niner Twinpack (20 lumens) FRONT ONLY,,
2,Belgium,14/05/2019,14/05/2019,,BEBAT Main battery,14/05/2019,BEBAT1,14/05/2019,
1,Belgium,17/05/2019,17/05/2019,,Abus Lock Iven 8210/110,17/05/2019,303647,17/05/2019,AGU
1,Belgium,07/02/2019,07/02/2019,,Small Goods Shipping,07/02/2019,SHIPPING SMALL PARCEL,07/02/2019,DPD
1,Belgium,13/06/2019,13/06/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),13/06/2019,AH-FOL-POW,13/06/2019,
1,Belgium,16/02/2019,16/02/2019,,Shopper Plus BLACK,16/02/2019,0300bs,16/02/2019,AGU
1,Belgium,10/05/2019,10/05/2019,,Abus Lock Iven 8210/110,10/05/2019,303647,10/05/2019,AGU
1,Belgium,21/05/2019,21/05/2019,,Folding Alu pedals,21/05/2019,MKS FD-7,21/05/2019,FACT BIKEPARTS
1,Belgium,24/05/2019,24/05/2019,,Klickfix Stem/Caddy,24/05/2019,414096,24/05/2019,AGU
1,Belgium,17/01/2019,17/01/2019,,Maintenance Pack: BASIC+,17/01/2019,SAV Basic+,17/01/2019,
,,,,['recAjteKZ1w2OZR1B'],,,CUSTOM COLOR (6-10 weeks) Wall Mc Blue + Scientia Saddle instead of leather,,
1,Belgium,15/01/2019,15/01/2019,,Ahooga Modular Bike - 30V - 1S (6-10 weeks),15/01/2019,AH-MOD-30V-1S,15/01/2019,
1,Luxembourg,22/05/2019,22/05/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,22/05/2019,AH-FOL-HYB COMFORT,22/05/2019,
1,France,08/05/2019,08/05/2019,,Small Goods Shipping,08/05/2019,SHIPPING SMALL PARCEL,08/05/2019,DPD
1,Belgium,22/05/2019,22/05/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,22/05/2019,AH-FOL-HYB COMFORT,22/05/2019,
,,,,['rece0C59hMVyIXsio'],,,Custom color offered (2 bikes offer) Selle comfort brune et poignées brunes WHITE SUNRISE,,
,,,,['rec6gjiiMnGd3PAts'],,,BIKE SHIPPING FR,,
1,Belgium,01/08/2019,01/08/2019,,Ahooga 1 Folding Stem Spring,01/08/2019,A1-6002,01/08/2019,UBW
1,Belgium,21/06/2019,21/06/2019,,Ahooga Modular Bike - 36V - 3S (10 weeks),21/06/2019,AH-MOD-36V-3S,21/06/2019,
,,,,['recVGN9AWAjR1wgza'],,,Ahooga Modular Bike - 36V - 3S (unknown leadtime for gearbox),,
1,Belgium,05/07/2019,05/07/2019,,Custom Color (6-10 weeks),05/07/2019,AH-FOL-CUSTOM RAL,05/07/2019,
1,Belgium,16/04/2019,16/04/2019,,Hybrid Battery 24V/7Ah UPGRADE,16/04/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,16/04/2019,UBW ZRT
,,,,['recPycHVKcJwK0kju'],,,B i k e stand 26&amp;quot;,,
1,Belgium,16/07/2019,16/07/2019,,Ahooga 1 Crank,16/07/2019,A1-5006,16/07/2019,UBW ZRT
1,Germany,10/05/2019,10/05/2019,,Hybrid Battery 24V/7Ah UPGRADE,10/05/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,10/05/2019,UBW ZRT
,,,,['recnEtA4KOvZAdTFn'],,,Ahooga Folding Bike - Hybrid/Style+ - Disc Brake + Custom RAL,,
1,Belgium,28/03/2019,28/03/2019,,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,28/03/2019,AH-FOL-HYB ESS,28/03/2019,
,,,,['recdGmYTjMv6REEXn'],,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue AKM MOTOR,,
2,Belgium,07/05/2019,07/05/2019,,BEBAT Lights,07/05/2019,BEBAT2,07/05/2019,
1,Belgium,08/04/2019,08/04/2019,,ABUS Kettingslot 8210/85 Steel-O-Chain IVEN Zwart ART2,08/04/2019,303646,08/04/2019,AGU
1,Belgium,14/02/2019,14/02/2019,,Brake Pads pair - JAGWIRE,14/02/2019,AHO-SPARE-PADS JAGWIRE,14/02/2019,
1,Belgium,17/01/2019,17/01/2019,,Pump Joeblow Max HP BLACK,17/01/2019,TO6079.BLK,17/01/2019,NOWCOMPANY
1,Belgium,08/07/2019,08/07/2019,,Ahooga 1 Inner Tire,08/07/2019,A1-2012,08/07/2019,AGU
1,Belgium,20/03/2019,20/03/2019,,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,20/03/2019,AH-FOL-PUSH COMFORT,20/03/2019,
1,Belgium,11/05/2019,11/05/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),11/05/2019,AH-FOL-POW,11/05/2019,
1,Belgium,18/05/2019,18/05/2019,,ASS SAVER WIDE BLACK,18/05/2019,121385,18/05/2019,AGU
1,Belgium,29/04/2019,29/04/2019,,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,29/04/2019,AH-FOL-HYB STYLE,29/04/2019,
,,,,['reckhmxP2GdK6l90e'],,,"eBike caliper marathon+ 4,4Ah battery, White Matt, dark grey decal, brown grip and saddle(for Belgium ONLY: BEBAT included)",,
2,Belgium,23/05/2019,23/05/2019,,BEBAT Lights,23/05/2019,BEBAT2,23/05/2019,
2,Belgium,08/04/2019,08/04/2019,,Transport Cover,08/04/2019,TRANSPORT COVER,08/04/2019,RADICAL DESIGN
2,Belgium,24/07/2019,24/07/2019,,BEBAT Main battery,24/07/2019,BEBAT1,24/07/2019,
1,France,07/02/2019,07/02/2019,,"SELLE ROYAL saddle, Wolfy Pedals, Ring-a-Bell, Blinder Mini Niner",07/02/2019,STYLE+ pack SELLE ROYAL,07/02/2019,Ahooga Sprl
1,Belgium,25/07/2019,25/07/2019,,Carrying Handle Farher,25/07/2019,640757,25/07/2019,FAHRER
1,Belgium,22/05/2019,22/05/2019,,BEBAT Main battery,22/05/2019,BEBAT1,22/05/2019,
1,Belgium,01/03/2019,01/03/2019,,Helmet Torch  T2 ORANGE,01/03/2019,TORCH ORANGE,01/03/2019,ROOL IN
,,,,['rec5puHI7ptZ6rIuD'],,,Ahooga Folding Bike - Power+ - OMG Silver (6-10 weeks) - Selle Scientia R3,,
1,Italy,12/06/2019,12/06/2019,,Ahooga 1 Elec Cable SHORT,12/06/2019,A1-4003 short,12/06/2019,UBW
1,Belgium,02/02/2019,02/02/2019,,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,02/02/2019,AH-FOL-PUSH STYLE,02/02/2019,
1,Germany,14/05/2019,14/05/2019,,City Handlebar,14/05/2019,AH-MOD-CITY,14/05/2019,
,,,,,,,BIKE SHIPPING DE  Kerstin Rosebrock  Evendorf Wiedsal  21272 Egestorf,,
2,Belgium,10/05/2019,10/05/2019,,BEBAT Main battery,10/05/2019,BEBAT1,10/05/2019,
1,Germany,17/07/2019,17/07/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),17/07/2019,AH-FOL-POW,17/07/2019,
,,,,['recvDtAJ8Nx3CRIgY'],,,"eBike caliper marathon+ 4,4Ah batteryGris clair mat, decal TBC, grip and saddle TBC",,
1,Belgium,25/06/2019,25/06/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),25/06/2019,AH-FOL-POW,25/06/2019,
1,Belgium,27/06/2019,27/06/2019,,"Front & Rear Carriers (incl pegs, cushion, stand) for Ahooga Modular B i k e",27/06/2019,AH-MOD-ACC-RACK-PACK-50kg,27/06/2019,
,,,,['rec3R3uLHeW2lZK3A'],,,"Ahooga Modular Bike - 36V - 1S (delivery Q2 2019) - Space Saver pack, mudguards &amp; lights not included",,
1,United Kingdom,02/05/2019,02/05/2019,,Selle Royale Scientia M2,02/05/2019,Scientia M2,02/05/2019,SELLE ROYAL
1,Belgium,01/08/2019,01/08/2019,,BIKE SHIPPING BE,01/08/2019,SHIPPING BE,01/08/2019,DPD
,,,,['rechGJEEn5vhxThsS'],,,Ahooga Folding Bike Power+ (delivery Q1 2019) RAL 1021 glossy,,
1,Belgium,23/01/2019,23/01/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,23/01/2019,AH-FOL-HYB COMFORT,23/01/2019,
1,Belgium,18/04/2019,18/04/2019,,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,18/04/2019,AH-FOL-HYB STYLE,18/04/2019,
1,Portugal,23/01/2019,23/01/2019,['rec1Wj1KdgNcGSe3v'],BIKE SHIPPING PT,23/01/2019,BIKE SHIPPING PT,23/01/2019,DPD
,,,,['rec0rBeSVLXPOynCg'],,,Folding B i k e Disc Brakes Option (6-10 weeks),,
1,Belgium,04/01/2019,04/01/2019,,BEBAT Lights,04/01/2019,BEBAT2,04/01/2019,
,,,,['recRaBH54GJKobIU9'],,,Hybrid Battery 24V/4.4Ah,,
1,Belgium,27/06/2019,27/06/2019,,BEBAT Lights,27/06/2019,BEBAT2,27/06/2019,
1,Belgium,07/05/2019,07/05/2019,,Folding B i k e Disc Brakes Option (6-10 weeks),07/05/2019,AH-FOL-DISC BRAKE,07/05/2019,
1,Belgium,19/04/2019,19/04/2019,,Pure Degreaser 250 ml,19/04/2019,3403,19/04/2019,Weldtite
1,Belgium,04/02/2019,04/02/2019,,Hybrid Battery 24V/4.4Ah,04/02/2019,AH-FOL-HYB-BAT-24V-4.4AH,04/02/2019,Greenway
1,Belgium,08/07/2019,08/07/2019,,Cesa Cruise,08/07/2019,Sminno,08/07/2019,AGU
1,Belgium,16/02/2019,16/02/2019,,Klickfix Stem/Caddy,16/02/2019,414096,16/02/2019,AGU
1,Belgium,17/07/2019,17/07/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),17/07/2019,AH-FOL-POW,17/07/2019,
,,,,['recbfkSCA6sEweFTj'],,,"eBike caliper marathon+ 4,4Ah batteryWHITE MAT, dark grey decal, black grips and saddle(for Belgium ONLY: BEBAT included)",,
1,Germany,10/05/2019,10/05/2019,,Schwalbe Kojak,10/05/2019,A1-2010,10/05/2019,UBW ZRT
1,Belgium,14/03/2019,14/03/2019,,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,14/03/2019,AH-FOL-HYB STYLE,14/03/2019,
,,,,['rec7dxqY1djfeptG8'],,,"Essential eBike caliper kojak 4,4Ah battery WHITE MAT, dark grey decal, brown grip liege and saddle(for Belgium ONLY: BEBAT included)",,
1,Belgium,15/04/2019,15/04/2019,,Ahooga Folding Bike - Hybrid/Light+ - All Black,15/04/2019,AH-FOL-HYB LIGHT,15/04/2019,
1,Belgium,14/05/2019,14/05/2019,,Folding B i k e Disc Brakes Option (6-10 weeks),14/05/2019,AH-FOL-DISC BRAKE,14/05/2019,
1,Belgium,18/01/2019,18/01/2019,,Tyke Toter Child Seat,18/01/2019,TYKETOTER,18/01/2019,Ahooga Sprl
1,Belgium,10/05/2019,10/05/2019,,ABUS Bordo Ugrip 5700/80,10/05/2019,303737,10/05/2019,AGU
2,Ireland,26/02/2019,26/02/2019,,Small Goods Shipping,26/02/2019,SHIPPING SMALL PARCEL,26/02/2019,DPD
1,Belgium,08/05/2019,08/05/2019,,Abus Lock Iven 8210/110,08/05/2019,303647,08/05/2019,AGU
,,,,['reci9sEQxUWghpi85'],,,City Handlebar (guidon hollandais),,
1,Belgium,11/02/2019,11/02/2019,,Hybrid Battery 24V/7Ah UPGRADE,11/02/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,11/02/2019,UBW ZRT
2,Belgium,22/05/2019,22/05/2019,,BEBAT Lights,22/05/2019,BEBAT2,22/05/2019,
,,,,['recSAIuSGP1NHQqgk'],,,Burley Travoy Bike Trailer GREY,,
1,Belgium,21/05/2019,21/05/2019,,BEBAT Main battery,21/05/2019,BEBAT1,21/05/2019,
1,Belgium,13/02/2019,13/02/2019,,Knog Plus Twinpack,13/02/2019,KN420,13/02/2019,NOWCOMPANY
,,,,['reckdk3Fz6pQE93pf'],,,The Poeple Poncho YELLOW,,
1,Belgium,14/03/2019,14/03/2019,,The Poeple Poncho NAVY,14/03/2019,POEPLE PONCHO NAVY,14/03/2019,POEPLE PON
1,Belgium,13/07/2019,13/07/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),13/07/2019,AH-MOD-36V-8S,13/07/2019,
1,Belgium,17/07/2019,17/07/2019,,BEBAT Main battery,17/07/2019,BEBAT1,17/07/2019,
,,,,['rec6S2s0CAdvTojLR'],,,Ahooga 1 Folding Stem (WARRANTY),,
1,Belgium,22/01/2019,22/01/2019,,Ahooga 1 Elec Cable SHORT,22/01/2019,A1-4003 short,22/01/2019,UBW
,,,,['rec6XJDwNzc4RxMaC'],,,Brochures (50),,
