Actual_quantity,Country,Created_date,Invoice_date,Master_data,Old_SKU_name,Requested_date,SKU_number,Shipped_date,Supplier
1,Belgium,03/05/2019,03/05/2019,,Brake Pads pair - PROMAX,03/05/2019,AHO-SPARE-PADS PROMAX,03/05/2019,AGU
1,Luxembourg,23/07/2019,23/07/2019,,Transport Bag,23/07/2019,TRANSPORT BAG,23/07/2019,RADICAL DESIGN
1,Belgium,28/05/2019,28/05/2019,,Rear Carrier for Ahooga Folding B i k e,28/05/2019,AH-POW-ACC-CARRIER,28/05/2019,
1,Belgium,01/08/2019,01/08/2019,,BEBAT Lights,01/08/2019,BEBAT2,01/08/2019,
1,France,14/05/2019,14/05/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),14/05/2019,AH-MOD-36V-8S,14/05/2019,
1,Belgium,20/07/2019,20/07/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),20/07/2019,AH-MOD-36V-8S,20/07/2019,
1,Belgium,13/04/2019,13/04/2019,,FLECTR ZERO,13/04/2019,FLECTR REFLECTOR,13/04/2019,
1,Belgium,27/06/2019,27/06/2019,,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,27/06/2019,AH-FOL-HYB STYLE,27/06/2019,
1,Belgium,20/05/2019,20/05/2019,,BIKE SHIPPING BE,20/05/2019,SHIPPING BE,20/05/2019,DPD
1,Belgium,13/06/2019,13/06/2019,,Blinder Road Twinpack (200 lumens),13/06/2019,KN317,13/06/2019,NOWCOMPANY
1,Germany,23/04/2019,23/04/2019,,Small Goods Shipping,23/04/2019,SHIPPING SMALL PARCEL,23/04/2019,DPD
1,Belgium,02/05/2019,02/05/2019,,BEBAT Main battery,02/05/2019,BEBAT1,02/05/2019,
,,,,['recutRFpKn7w1C2w9'],,,Pure WASH,,
1,Belgium,29/05/2019,29/05/2019,,"Front & Rear Carriers (incl pegs, cushion, stand) for Ahooga Modular B i k e",29/05/2019,AH-MOD-ACC-RACK-PACK-50kg,29/05/2019,
1,Belgium,24/05/2019,24/05/2019,,Folding B i k e Disc Brakes Option (6-10 weeks),24/05/2019,AH-FOL-DISC BRAKE,24/05/2019,
,,,,['recIHtiQTuXXms57B'],,,"Front &amp; Rear Carriers (incl pegs, cushion) for Ahooga Modular B i k e",,
,,,,['recKUhZuvFjjy8fr6'],,,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal - delivery 30-07,,
1,Belgium,16/02/2019,16/02/2019,,Vario Rack,16/02/2019,414071,16/02/2019,AGU
1,Belgium,08/02/2019,08/02/2019,,"eBike caliper marathon+ 4,4Ah battery  CUSTOM RAL, decal TBC, grip and saddle TBC",08/02/2019,eB-C-M+ 4.4 CUSTOM,08/02/2019,Ahooga Sprl
,,,,['recQa3arkZFMX4SNg'],,,"Comfy saddle BROWN, Blinder Mini Niner",,
1,Belgium,08/02/2019,08/02/2019,,Abus Lock Iven 8210/110,08/02/2019,303647,08/02/2019,AGU
,,,,['rechcrPYFnL5Gw6Eu'],,,Ahooga Folding Bike - Hybrid/Comfort+ALU,,
1,Belgium,12/07/2019,12/07/2019,,Ahooga Modular Bike - 30V - 1S (6-10 weeks),12/07/2019,AH-MOD-30V-1S,12/07/2019,
1,United Kingdom,16/05/2019,16/05/2019,,VINCITA BLACK Bag,16/05/2019,IAG-B207AH-BL-REV1,16/05/2019,
1,Belgium,25/03/2019,25/03/2019,,Shopper Bag Pro Grey,25/03/2019,413369,25/03/2019,AGU
,,,,['recUmOlUBc4xKEvZq'],,,Leather Anatomical Brown,,
,,,,['recQzJlnARHOMurkW'],,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue - sortie de ligne wk 36,,
,,,,['rec6wMIdFulygdR5A'],,,HELMET SCRAPER ABUSBLACK M,,
1,Belgium,15/03/2019,15/03/2019,,Breaks adjustment,15/03/2019,SAV Breaks Adjustment,15/03/2019,
1,Belgium,08/04/2019,08/04/2019,,BROWN COMFY Saddle,08/04/2019,A1-7006,08/04/2019,UBW
1,Belgium,23/04/2019,23/04/2019,,Folding B i k e Disc Brakes Option (6-10 weeks),23/04/2019,AH-FOL-DISC BRAKE,23/04/2019,
1,Belgium,16/01/2019,16/01/2019,,BEBAT Lights,16/01/2019,BEBAT2,16/01/2019,
1,Belgium,13/06/2019,13/06/2019,,Ahooga 1 Big Bumper PIN,13/06/2019,A1-1006,13/06/2019,UBW
1,Belgium,25/03/2019,25/03/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,25/03/2019,AH-FOL-HYB COMFORT,25/03/2019,
1,Belgium,17/07/2019,17/07/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),17/07/2019,AH-FOL-POW,17/07/2019,
,,,,['recv9ClZuDJadLtT6'],,,"eBike caliper marathon+ 4,4Ah batteryCUSTOM 3020 GLOSSY RAL, decal TBC, grip and saddle TBC",,
1,Belgium,31/07/2019,31/07/2019,,Helmet Torch  T2 ORANGE,31/07/2019,TORCH ORANGE,31/07/2019,ROOL IN
,,,,['rec0F9WeoD4OPlpmd'],,,24V/4.4Ah ( sous garantie ),,
,,,,['recZNFLMgLgzdqptb'],,,Ahooga Folding Bike - Power+(Currently 10-12 weeks),,
1,Belgium,08/02/2019,08/02/2019,,"Comfy saddle BROWN, Blinder Mini Niner",08/02/2019,COMFORT+ pack (2018) BROWN,08/02/2019,Ahooga Sprl
1,Belgium,05/06/2019,05/06/2019,,Vario Rack,05/06/2019,414071,05/06/2019,AGU
7,Belgium,04/06/2019,04/06/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),04/06/2019,AH-FOL-POW,04/06/2019,
,,,,['rec6hVbYFalwEd7y6'],,,"DISC eBike marathon+ 4,4Ah battery PEARL BLUE MAT, CUSTOM white decal, black grip and saddle(for Belgium ONLY: BEBAT included)",,
1,France,10/01/2019,10/01/2019,,Small Goods Shipping,10/01/2019,SHIPPING SMALL PARCEL,10/01/2019,DPD
,,,,['recuIML8Dqh5kCHBF'],,,Ahooga Folding Bike - Power+ - RAL 3007 matt (delivery Q1 2019),,
1,Belgium,26/02/2019,26/02/2019,,Shopper Plus BLACK,26/02/2019,0300bs,26/02/2019,AGU
1,Belgium,04/06/2019,04/06/2019,,BIKE SHIPPING BE,04/06/2019,SHIPPING BE,04/06/2019,DPD
1,Spain,28/02/2019,28/02/2019,,Tyke Toter Child Seat,28/02/2019,TYKETOTER,28/02/2019,Ahooga Sprl
1,Belgium,31/05/2019,31/05/2019,,Vario Rack,31/05/2019,414071,31/05/2019,AGU
1,Belgium,21/03/2019,21/03/2019,,BIKE SHIPPING BE,21/03/2019,SHIPPING BE,21/03/2019,DPD
,,,,['recZ2523nSGA6nZmZ'],,,Ahooga Folding Bike - Power+ - green custom colour,,
,,,,['rec0y36k47Oob5Lzg'],,,"eBike caliper marathon+ 4,4Ah batteryVINTAGE BLUE GLOSSY, white decal, black grip and saddle(for Belgium ONLY: BEBAT included)",,
,,,,['recPc0WWoyIq8pRBK'],,,Ahooga Modular Bike - 36V - 8S (4-8 weeks) - Uit van lijn WK 36,,
1,Belgium,11/01/2019,11/01/2019,,BIKE SHIPPING BE,11/01/2019,SHIPPING BE,11/01/2019,DPD
1,Belgium,22/07/2019,22/07/2019,,Extra long seatpost,22/07/2019,AH-FOL-XL SEATPOST,22/07/2019,
1,Belgium,04/06/2019,04/06/2019,,"Front & Rear Carriers (incl pegs, cushion, stand) for Ahooga Modular B i k e",04/06/2019,AH-MOD-ACC-RACK-PACK-50kg,04/06/2019,
1,Belgium,14/02/2019,14/02/2019,,Twist & Lock,14/02/2019,AH-FOL-TWISTANDLOCK,14/02/2019,UBW ZRT
1,Belgium,17/07/2019,17/07/2019,,HYBRID CUSTOM COLOR  - Wow Copper (6-10 weeks),17/07/2019,AH-FOL-COLOR CUSTOM  RAL 8029 MAT,17/07/2019,
1,Belgium,16/01/2019,16/01/2019,,Carrying Handle Farher,16/01/2019,640757,16/01/2019,FAHRER
1,Belgium,13/06/2019,13/06/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),13/06/2019,AH-MOD-36V-8S,13/06/2019,
1,Belgium,13/06/2019,13/06/2019,,Topeak Two Up Tune Up B i k e Stand,13/06/2019,AH-FOL-ACC-TO5275,13/06/2019,
,,,,['recEMPx58gE0XhBvu'],,,"DISC eBike marathon+ 4,4Ah battery WHITE MAT, dark grey decal, brown grips and saddle(for Belgium ONLY: BEBAT included)",,
1,Germany,22/05/2019,22/05/2019,,Ahooga 1 Brown Grips,22/05/2019,A1-6007,22/05/2019,UBW
1,Belgium,15/06/2019,15/06/2019,,Abus Lock Iven 8210/110,15/06/2019,303647,15/06/2019,AGU
