,Actual_quantity,Customer,Product_group,Product_family,Country,New_SKU_Name,Created_date_month,Created_date_year
472,1,Ahooga Sprl,Component,Other,Belgium,Other,5,2019
473,1,AGU,Component,Other,Belgium,Other,3,2019
474,1,HARTJE,Component,Other,Belgium,Other,7,2019
475,2,,Component,Other,Belgium,Other,6,2019
476,1,AGU,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6,2019
477,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6,2019
478,2,,Component,Other,Germany,Other,3,2019
479,1,,Component,Other,Belgium,Other,5,2019
480,1,AGU,Component,Other,Belgium,Other,5,2019
481,1,AGU,Component,Other,Belgium,Other,7,2019
