,Actual_quantity,Customer,Product_group,Product_family,Country,New_SKU_Name,Created_date_month,Created_date_year
151,1,DPD,Component,Other,Belgium,Other,7,2019
152,1,HARTJE,Component,Other,Belgium,Other,3,2019
153,1,RADICAL DESIGN,Bike,Other,Belgium,Ahooga Modular Bike - Push - 8S,5,2019
154,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,1,2019
155,1,,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 8S,3,2019
156,1,AGU,Component,Other,Belgium,Other,7,2019
157,1,,Component,Other,Belgium,Other,3,2019
158,1,,Component,Other,Belgium,Other,5,2019
159,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,5,2019
160,1,UBW ZRT,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 3S,4,2019
161,1,DPD,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6,2019
162,1,,Component,Other,Belgium,Other,5,2019
163,1,AGU,Component,Other,France,Other,5,2019
164,1,DPD,Component,Other,Belgium,Other,2,2019
165,1,NOWCOMPANY,Component,Other,Belgium,Other,4,2019
166,1,UBW ZRT,Component,Other,Germany,Other,4,2019
167,1,,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 8S,6,2019
168,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,1,2019
169,1,Greenway,Component,Other,Belgium,Other,4,2019
170,1,UBW,Component,Other,Belgium,Other,7,2019
171,1,ROOL IN,Component,Other,Belgium,Other,5,2019
172,1,AGU,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6,2019
173,1,,Component,Other,Belgium,Other,4,2019
174,1,AGU,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,7,2019
175,1,,Component,Other,Belgium,Other,1,2019
176,1,,Component,Other,Belgium,Other,3,2019
177,1,,Component,Other,France,Other,6,2019
178,1,DoctiBike,Component,Other,Germany,Other,7,2019
179,1,DPD,Component,Other,Belgium,Other,1,2019
180,1,,Component,Other,Belgium,Other,3,2019
181,1,,Component,Other,Belgium,Other,5,2019
182,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
183,1,,Component,Other,Belgium,Other,5,2019
184,1,AGU,Component,Other,Belgium,Other,1,2019
185,1,AGU,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,3,2019
186,2,,Component,Other,Belgium,Other,4,2019
187,1,,Component,Other,Belgium,Other,3,2019
188,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,7,2019
189,1,,Component,Other,Belgium,Other,6,2019
190,2,,Component,Other,Belgium,Other,4,2019
191,1,,Component,Other,Belgium,Other,6,2019
192,1,,Component,Other,Belgium,Other,8,2019
193,1,,Component,Other,Belgium,Other,8,2019
194,1,,Component,Other,Netherlands,Other,7,2019
195,2,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,2,2019
196,1,Ahooga Sprl,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,1,2019
197,1,UBW,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Essential - White Sunrise,1,2019
198,1,DPD,Component,Other,United Kingdom,Other,5,2019
199,1,BLB,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6,2019
200,6,DPD,Component,Other,Belgium,Other,1,2019
201,1,,Component,Other,Belgium,Other,2,2019
202,3,RADICAL DESIGN,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6,2019
203,1,Ahooga Sprl,Component,Other,Belgium,Other,4,2019
204,1,,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 8S,5,2019
205,1,,Component,Other,Belgium,Other,3,2019
206,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,7,2019
207,1,,Component,Other,Belgium,Other,6,2019
208,2,UBW ZRT,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,2,2019
209,1,,Component,Other,Belgium,Other,6,2019
210,1,SELLE ROYAL,Component,Other,Belgium,Other,3,2019
211,1,AGU,Component,Other,Belgium,Other,8,2019
212,1,AGU,Component,Other,Belgium,Other,3,2019
213,1,,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S,3,2019
214,1,,Component,Other,Belgium,Other,8,2019
215,1,UBW ZRT,Component,Other,Germany,Other,5,2019
216,1,UBW,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 3S,5,2019
